POLICY_NO,POLICY_NAME,RECEIPT_DATE,PAYMENT_MODE,CHEQUE_NO,CHEQUE_DATE,CHEQUE_AMT,EXCESS_PREMIUM_PAID,PREMIUM_AMT,DEPOSIT_AMT,SERVICE_TAX,EDU_CESS,TOTAL_PREMIUM,TOTAL_FUND_VALUE,PAYABLE_BY,PREMIUM_PAY_FREQUENCY,PREMIUM_PAYMENT,ANNUAL_PREMIUM,POLICY_STATUS,REASON,REMERK,DUE_DATE,NEXT_PREMIUM_DUE_DATE,TOT_PREMIUM,LIFE_ASSURED_NAME,CUSTOMER_ID,RECEIPT_NO,BASE_PLAN_PRODUCT_NAME,BASE_PREMIUM_PAID,BASE_PREMIUM_PAID_TAX,BASE_PREMIUM_DUE,BASE_PREMIUM_TAX_SECTION,RIDER_NAME_1,RIDER_PREMIUM_PAID_1,RIDER_PREMIUM_PAID_1_TAX,RIDER_PREMIUM_DUE_1,RIDER_TAX_SECTION_1,PROCESSED_FLAG,PROCESSED_DATE,INSER_DT_TM
4566,HeartBeat,30/08/2010,cash,938567650,19/01/2019,5853,19959,17107,9293,888,148,37066,196007,HealthSuraksha,yearly,499526,5994312,NON-PREMIUM,Health,Please-pay-your-installment,18183,10/11/2020,516633,Sona,8957,9673,Car-Insurance,42936,4106,27936,80CCC,Disability-rider,15837,-74163,10837,80CCC,FALSE,14/04/2020,26/03/2020
4567,iHealthPlan,25/12/2007,email,764367550,02/05/2019,2640,11912,15232,17327,405,112,27144,366715,iHealthPlan,yearly,243080,2916960,NON-PREMIUM,Personal-liberty,Its Good,18051,31/08/2020,258312,Sona,1029,2915,Health-Insurance,42442,2504,27442,120CC,Critical-illness-rider,36603,-53397,31603,150CB,FALSE,10/08/2020,01/01/2020
4568,iHealthPlan,16/09/2014,online,964723413,09/02/2019,4378,10396,16401,8146,1266,154,26797,405845,LifePayMoneyBack,half-yearly,461833,5541996,NON-PREMIUM,Personal-liberty,Its Good,18042,27/02/2020,478234,Raja,9708,1493,Car-Insurance,28737,3921,13737,120CC,Disability-rider,23715,-66285,18715,150CB,TRUE,29/11/2020,11/12/2020
4569,HealthSuraksha,15/05/2015,online,981457266,09/03/2019,7577,15268,10747,17140,1769,142,26015,67610,HeartBeat,quarterly ,179041,2148492,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18182,28/11/2020,189788,Raja,9073,1402,Life-Cover,23759,4932,8759,80CCC,Critical-illness-rider,46675,-43325,41675,80CCC,FALSE,06/05/2020,19/03/2020
4570,iHealthPlan,15/10/1990,email,669766894,07/09/2019,4316,11848,18462,19853,1945,158,30310,49309,HealthSuraksha,half-yearly,449720,5396640,PREMIUM,Health,Please-pay-your-installment,18058,09/03/2020,468182,Sona,1095,1694,Car-Insurance,47261,4416,32261,120CC,Critical-illness-rider,49756,-40244,44756,50BC,FALSE,28/04/2020,09/06/2020
4571,LifePayMoneyBack,03/09/1990,email,866363354,24/01/2019,4774,12534,11603,16978,993,186,24137,36319,HealthSuraksha,half-yearly,441217,5294604,NON-PREMIUM,Health,Please-pay-your-installment,18164,22/08/2020,452820,Shubham,5072,7160,Life-Cover,42078,3558,27078,120CC,Accidental-death-benefit-rider,33333,-56667,28333,50BC,FALSE,18/09/2020,30/11/2020
4572,HealthSuraksha,06/08/2000,email,850495688,11/11/2019,6230,16353,15561,6386,1737,183,31914,376856,iHealthPlan,quarterly ,288396,3460752,PREMIUM,Health,Its Good,18028,19/12/2020,303957,Sourabh,5344,5490,Car-Insurance,20760,2958,5760,80CCC,Critical-illness-rider,16478,-73522,11478,50BC,FALSE,29/01/2020,09/04/2020
4573,HealthSuraksha,23/12/2005,email,139094210,15/07/2019,6812,14250,12773,19123,217,158,27023,208176,iHealthPlan,half-yearly,456364,5476368,PREMIUM,Health,Please-pay-your-installment,18005,31/05/2020,469137,Surendra,7145,9870,Health-Insurance,24954,1592,9954,80BB,Term-rider,34163,-55837,29163,80CCC,FALSE,25/11/2020,15/04/2020
4574,HeartBeat,11/05/2010,online,357561856,06/09/2019,1652,18988,13868,11489,1366,154,32856,391084,LifePayMoneyBack,yearly,325739,3908868,PREMIUM,Personal-liberty,Its Good,17951,05/10/2020,339607,Surendra,8705,751,Property-Insurance,26498,3770,11498,80BB,Critical-illness-rider,38325,-51675,33325,80CCC,FALSE,12/05/2020,16/07/2020
4575,LifePayMoneyBack,25/03/1998,email,973642812,11/05/2019,4230,19646,10346,8320,1342,163,29992,349075,iHealthPlan,quarterly ,424948,5099376,PREMIUM,educational ,Please-pay-your-installment,18094,02/11/2020,435294,Sona,4522,9485,Health-Insurance,44578,1037,29578,120CC,Critical-illness-rider,10527,-79473,5527,150CB,FALSE,15/04/2020,04/01/2020
4576,iHealthPlan,21/01/2016,online,694619510,03/05/2019,7883,13157,19814,15132,423,164,32971,293656,LifePayMoneyBack,quarterly ,267533,3210396,NON-PREMIUM,educational ,Its Good,17964,30/09/2020,287347,Raja,9993,8052,Property-Insurance,44799,3050,29799,80CCC,Critical-illness-rider,35206,-54794,30206,150CB,TRUE,28/12/2020,16/01/2020
4577,HeartBeat,16/12/2016,online,432672587,30/12/2019,3801,11020,14929,11977,1092,145,25949,166933,HealthSuraksha,yearly,201566,2418792,NON-PREMIUM,educational ,Its Good,17978,04/09/2020,216495,Surendra,6504,3202,Car-Insurance,38287,4636,23287,80CCC,Accidental-death-benefit-rider,43442,-46558,38442,50BC,TRUE,29/11/2020,03/07/2020
4578,HeartBeat,23/04/2004,cash,758219964,15/06/2019,3953,17072,10774,4129,1431,175,27846,36491,iHealthPlan,yearly,191542,2298504,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18026,18/07/2020,202316,Surendra,2610,2506,Car-Insurance,26672,4239,11672,80BB,Critical-illness-rider,15644,-74356,10644,80CCC,FALSE,01/11/2020,05/04/2020
4579,iHealthPlan,19/04/2014,online,480376969,03/02/2019,4011,14935,11457,16959,219,149,26392,339174,iHealthPlan,quarterly ,466412,5596944,PREMIUM,Health,Its Good,18040,06/02/2020,477869,Sona,9375,9038,Life-Cover,41392,1900,26392,120CC,Accidental-death-benefit-rider,41408,-48592,36408,80CCC,TRUE,14/11/2020,23/02/2020
4580,HeartBeat,26/06/1995,online,320766418,01/12/2019,9824,15545,16513,1147,1372,164,32058,230961,HeartBeat,half-yearly,171059,2052708,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,17985,02/12/2020,187572,Sona,981,4330,Life-Cover,22557,3507,7557,80BB,Critical-illness-rider,37198,-52802,32198,150CB,TRUE,24/06/2020,15/08/2020
4581,LifePayMoneyBack,10/09/1995,cash,917161185,05/12/2019,1112,19979,16420,7538,1563,132,36399,369993,HealthSuraksha,yearly,434262,5211144,PREMIUM,Health,Its Good,17968,09/01/2020,450682,Raja,3413,5045,Health-Insurance,48705,2256,33705,120CC,Accidental-death-benefit-rider,18661,-71339,13661,150CB,TRUE,23/09/2020,03/03/2020
4582,iHealthPlan,02/02/2012,cash,951305093,15/06/2019,5919,18117,18996,4118,1264,187,37113,45507,LifePayMoneyBack,quarterly ,319656,3835872,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,17936,28/03/2020,338652,Sourabh,2169,3327,Health-Insurance,35831,1953,20831,80CCC,Disability-rider,39192,-50808,34192,50BC,TRUE,28/09/2020,24/01/2020
4583,LifePayMoneyBack,09/04/2011,cash,999817506,10/11/2019,8850,16185,16155,14641,603,102,32340,286051,HeartBeat,half-yearly,220539,2646468,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,17964,02/12/2020,236694,Raja,1725,2017,Car-Insurance,41438,4911,26438,80BB,Critical-illness-rider,39494,-50506,34494,80CCC,TRUE,20/03/2020,07/04/2020
4584,LifePayMoneyBack,06/11/1999,email,731909303,21/01/2019,5224,18162,15155,3915,486,111,33317,104413,HeartBeat,half-yearly,463403,5560836,NON-PREMIUM,Health,Please-pay-your-installment,18061,28/12/2020,478558,Shubham,6439,1795,Health-Insurance,46201,1253,31201,120CC,Term-rider,30421,-59579,25421,150CB,TRUE,29/08/2020,24/03/2020
4585,iHealthPlan,22/02/2007,email,165008412,14/07/2019,2898,11506,10104,11152,1284,125,21610,144987,HealthSuraksha,quarterly ,410463,4925556,PREMIUM,educational ,Its Good,17930,18/07/2020,420567,Sourabh,7337,167,Life-Cover,37184,3402,22184,120CC,Critical-illness-rider,33290,-56710,28290,50BC,FALSE,01/03/2020,27/09/2020
4586,HeartBeat,24/08/1992,cash,987808672,15/10/2019,7422,12728,17531,4107,766,114,30259,127762,LifePayMoneyBack,yearly,389271,4671252,PREMIUM,Personal-liberty,Its Good,18240,22/04/2020,406802,Sourabh,5208,9579,Health-Insurance,42937,2016,27937,80BB,Critical-illness-rider,37429,-52571,32429,80CCC,TRUE,08/09/2020,08/08/2020
4587,HealthSuraksha,10/07/2013,email,603926166,19/11/2019,8923,10077,16509,6471,666,182,26586,201057,HeartBeat,half-yearly,216882,2602584,NON-PREMIUM,educational ,Please-pay-your-installment,17907,23/09/2020,233391,Sona,1631,7131,Property-Insurance,30294,4257,15294,80CCC,Critical-illness-rider,18543,-71457,13543,50BC,TRUE,16/12/2020,07/11/2020
4588,iHealthPlan,27/07/2001,cash,919472627,17/03/2019,6872,12273,13900,2086,1604,153,26173,473502,LifePayMoneyBack,quarterly ,40097,481164,PREMIUM,Personal-liberty,Its Good,18180,27/01/2020,53997,Raja,7039,9540,Life-Cover,32555,2130,17555,80BB,Term-rider,21422,-68578,16422,80CCC,TRUE,17/11/2020,24/06/2020
4589,LifePayMoneyBack,06/02/1990,email,279758679,05/09/2019,3071,14898,17330,2459,1328,114,32228,315887,iHealthPlan,quarterly ,184875,2218500,PREMIUM,educational ,Please-pay-your-installment,17934,21/09/2020,202205,Sourabh,5637,90,Health-Insurance,21282,3561,6282,120CC,Disability-rider,15822,-74178,10822,50BC,TRUE,24/12/2020,11/12/2020
4590,LifePayMoneyBack,24/01/1999,online,372820325,28/06/2019,7400,17475,18840,18815,1691,163,36315,48514,HeartBeat,half-yearly,50934,611208,NON-PREMIUM,Health,Its Good,17983,14/08/2020,69774,Sona,1947,2656,Life-Cover,29865,4350,14865,120CC,Accidental-death-benefit-rider,15238,-74762,10238,150CB,FALSE,06/03/2020,05/08/2020
4591,HealthSuraksha,12/09/2015,cash,658752549,13/10/2019,1104,17868,19853,15214,936,139,37721,412673,iHealthPlan,yearly,51376,616512,PREMIUM,educational ,Its Good,18055,05/09/2020,71229,Sourabh,4406,281,Health-Insurance,40205,4663,25205,80CCC,Critical-illness-rider,47425,-42575,42425,150CB,FALSE,09/02/2020,19/06/2020
4592,HealthSuraksha,24/08/2004,email,846474158,17/11/2019,1628,16007,19972,4165,933,149,35979,392286,iHealthPlan,quarterly ,290662,3487944,PREMIUM,Health,Its Good,18069,12/07/2020,310634,Sourabh,5542,217,Car-Insurance,20239,2158,5239,120CC,Critical-illness-rider,32163,-57837,27163,150CB,FALSE,21/09/2020,03/03/2020
4593,iHealthPlan,17/09/2011,online,207255850,02/08/2019,3359,17739,17508,17645,398,136,35247,327512,iHealthPlan,half-yearly,122974,1475688,PREMIUM,Health,Its Good,18087,09/05/2020,140482,Raja,6352,4558,Life-Cover,42366,2326,27366,80CCC,Term-rider,20039,-69961,15039,50BC,TRUE,22/04/2020,06/12/2020
4594,HeartBeat,06/05/2007,cash,834611091,15/08/2019,6558,16866,16178,19894,200,163,33044,378828,HealthSuraksha,half-yearly,475214,5702568,NON-PREMIUM,educational ,Its Good,18034,06/02/2020,491392,Raja,9754,7540,Property-Insurance,27508,3588,12508,80CCC,Accidental-death-benefit-rider,26919,-63081,21919,80CCC,TRUE,03/09/2020,11/11/2020
4595,LifePayMoneyBack,22/07/2013,online,694349292,02/07/2019,8350,14229,12583,16071,1381,175,26812,94150,HealthSuraksha,half-yearly,314490,3773880,NON-PREMIUM,Health,Its Good,18213,03/06/2020,327073,Shubham,1847,1000,Property-Insurance,47745,1231,32745,80BB,Disability-rider,38390,-51610,33390,50BC,FALSE,06/03/2020,26/09/2020
4596,iHealthPlan,06/08/1993,email,176769045,12/05/2019,7740,15558,13656,12627,1211,174,29214,352526,HeartBeat,yearly,115933,1391196,NON-PREMIUM,Health,Please-pay-your-installment,18041,02/12/2020,129589,Raja,1197,6048,Car-Insurance,43627,1549,28627,120CC,Disability-rider,29632,-60368,24632,80CCC,TRUE,12/01/2020,10/11/2020
4597,iHealthPlan,16/02/2000,cash,861307532,21/11/2019,1722,12377,15219,15667,1210,151,27596,172702,HeartBeat,yearly,299356,3592272,PREMIUM,Health,Please-pay-your-installment,18037,28/01/2020,314575,Raja,9146,9855,Health-Insurance,47948,4064,32948,80BB,Disability-rider,48857,-41143,43857,150CB,FALSE,01/10/2020,07/08/2020
4598,HealthSuraksha,30/08/2011,online,547488269,03/07/2019,1301,15751,16168,5737,1791,198,31919,54631,HealthSuraksha,quarterly ,112038,1344456,PREMIUM,educational ,Its Good,18230,02/10/2020,128206,Raja,483,7981,Property-Insurance,34070,1575,19070,80BB,Disability-rider,10518,-79482,5518,150CB,TRUE,23/09/2020,05/08/2020
4599,LifePayMoneyBack,04/06/1999,online,436906465,27/05/2019,4043,19566,14222,19967,962,143,33788,288937,HeartBeat,yearly,408602,4903224,PREMIUM,Personal-liberty,Its Good,18196,12/03/2020,422824,Surendra,8821,9600,Car-Insurance,46188,1743,31188,120CC,Critical-illness-rider,29861,-60139,24861,80CCC,TRUE,14/10/2020,09/01/2020
4600,iHealthPlan,28/05/2011,email,759744341,25/08/2019,7914,14761,17311,5963,139,165,32072,360647,LifePayMoneyBack,half-yearly,95572,1146864,NON-PREMIUM,Health,Its Good,18051,14/04/2020,112883,Sona,3001,5706,Life-Cover,28203,3698,13203,120CC,Disability-rider,49441,-40559,44441,50BC,TRUE,23/06/2020,30/01/2020
4601,HealthSuraksha,30/01/2007,cash,854799860,28/11/2019,1622,19565,15543,14088,676,122,35108,299549,iHealthPlan,quarterly ,130009,1560108,PREMIUM,Personal-liberty,Please-pay-your-installment,18057,27/08/2020,145552,Sona,12,8734,Property-Insurance,38580,3727,23580,120CC,Disability-rider,49980,-40020,44980,80CCC,FALSE,20/07/2020,08/04/2020
4602,HealthSuraksha,15/10/1990,online,536426596,23/03/2019,7002,19057,11740,18634,219,102,30797,266403,HeartBeat,yearly,476426,5717112,PREMIUM,Personal-liberty,Its Good,18229,10/01/2020,488166,Sona,8959,8569,Car-Insurance,38537,3835,23537,80BB,Critical-illness-rider,47274,-42726,42274,150CB,FALSE,23/03/2020,18/06/2020
4603,HeartBeat,01/06/1995,online,911906633,15/03/2019,3914,12123,17306,12189,745,141,29429,395139,iHealthPlan,quarterly ,150552,1806624,PREMIUM,Health,Its Good,18197,16/07/2020,167858,Shubham,6524,8929,Health-Insurance,22187,1580,7187,80CCC,Critical-illness-rider,31985,-58015,26985,80CCC,FALSE,18/06/2020,13/05/2020
4604,LifePayMoneyBack,10/12/2004,email,315239134,24/11/2019,7644,14895,11808,3172,676,194,26703,458221,iHealthPlan,yearly,240276,2883312,NON-PREMIUM,Health,Please-pay-your-installment,18013,29/05/2020,252084,Raja,8967,1244,Life-Cover,20415,2291,5415,80BB,Accidental-death-benefit-rider,39863,-50137,34863,80CCC,FALSE,10/01/2020,29/12/2020
4605,HealthSuraksha,20/03/2014,online,115528964,15/10/2019,5245,15036,10184,14491,1530,184,25220,398932,HealthSuraksha,half-yearly,208144,2497728,NON-PREMIUM,Personal-liberty,Its Good,18143,22/03/2020,218328,Shubham,7790,8148,Property-Insurance,33229,4810,18229,80BB,Term-rider,28358,-61642,23358,50BC,FALSE,11/01/2020,17/12/2020
4606,HealthSuraksha,05/01/2008,online,879971763,14/04/2019,5264,11227,13336,13098,209,191,24563,332228,HeartBeat,quarterly ,150140,1801680,PREMIUM,Health,Please-pay-your-installment,18019,26/09/2020,163476,Sona,3875,7427,Life-Cover,42205,1070,27205,120CC,Term-rider,17457,-72543,12457,50BC,TRUE,21/07/2020,25/05/2020
4607,iHealthPlan,10/04/2004,email,159489142,31/10/2019,4290,17618,14483,16639,549,188,32101,163869,iHealthPlan,half-yearly,237993,2855916,PREMIUM,educational ,Its Good,17906,04/12/2020,252476,Sourabh,8837,7803,Property-Insurance,35581,2638,20581,120CC,Term-rider,10379,-79621,5379,150CB,FALSE,25/06/2020,15/11/2020
4608,HealthSuraksha,08/07/2002,cash,243327346,01/12/2019,1963,18217,16681,3347,1410,167,34898,201300,HealthSuraksha,half-yearly,66492,797904,NON-PREMIUM,educational ,Its Good,17907,26/04/2020,83173,Raja,1571,5384,Health-Insurance,37501,1605,22501,120CC,Disability-rider,24035,-65965,19035,50BC,TRUE,01/09/2020,05/09/2020
4609,HeartBeat,20/08/1992,cash,245260232,10/07/2019,4748,13586,15015,6480,1539,145,28601,116153,HeartBeat,yearly,419406,5032872,NON-PREMIUM,Personal-liberty,Its Good,18043,12/09/2020,434421,Sona,3957,9230,Health-Insurance,41735,4973,26735,80CCC,Critical-illness-rider,48996,-41004,43996,80CCC,TRUE,28/12/2020,06/03/2020
4610,LifePayMoneyBack,27/06/2003,cash,107963474,01/07/2019,9463,15966,18284,14194,1181,187,34250,418165,HealthSuraksha,quarterly ,243630,2923560,PREMIUM,Health,Please-pay-your-installment,18195,05/02/2020,261914,Raja,4238,6023,Life-Cover,49653,4758,34653,80CCC,Critical-illness-rider,40018,-49982,35018,50BC,FALSE,27/12/2020,31/05/2020
4611,HeartBeat,05/09/2004,online,828941714,16/08/2019,4894,18105,14472,5568,264,180,32577,293095,HealthSuraksha,quarterly ,466127,5593524,PREMIUM,Health,Please-pay-your-installment,18103,11/12/2020,480599,Surendra,8984,8061,Property-Insurance,24800,4916,9800,80CCC,Term-rider,12442,-77558,7442,50BC,FALSE,11/06/2020,02/12/2020
4612,HealthSuraksha,15/02/1996,cash,723571489,23/01/2019,8520,10241,16891,19484,1207,143,27132,22308,LifePayMoneyBack,yearly,418937,5027244,PREMIUM,Health,Its Good,17992,02/06/2020,435828,Sourabh,1023,954,Car-Insurance,26362,1463,11362,80BB,Disability-rider,13643,-76357,8643,80CCC,FALSE,16/02/2020,03/06/2020
4613,HealthSuraksha,09/10/1993,online,278050248,28/06/2019,8996,13413,11559,12331,372,151,24972,128682,HeartBeat,yearly,63353,760236,PREMIUM,educational ,Its Good,18153,25/07/2020,74912,Sourabh,869,5335,Life-Cover,34037,3293,19037,120CC,Accidental-death-benefit-rider,27996,-62004,22996,80CCC,FALSE,26/01/2020,12/02/2020
4614,HeartBeat,03/02/1992,cash,810640561,31/03/2019,5645,12580,16898,8299,195,169,29478,84591,iHealthPlan,quarterly ,134403,1612836,PREMIUM,Personal-liberty,Its Good,18016,11/03/2020,151301,Shubham,4987,6648,Property-Insurance,46876,3446,31876,80BB,Accidental-death-benefit-rider,35721,-54279,30721,150CB,TRUE,26/04/2020,22/10/2020
4615,HeartBeat,10/05/2005,cash,738957845,03/12/2019,3518,17759,12569,8807,424,105,30328,411577,HealthSuraksha,half-yearly,119733,1436796,PREMIUM,educational ,Its Good,18056,09/09/2020,132302,Surendra,6778,1371,Car-Insurance,48773,2572,33773,120CC,Accidental-death-benefit-rider,37627,-52373,32627,150CB,TRUE,14/10/2020,06/04/2020
4616,HealthSuraksha,31/01/2011,cash,168671504,27/10/2019,3746,17407,12232,10084,1839,147,29639,487246,LifePayMoneyBack,quarterly ,225924,2711088,PREMIUM,Health,Its Good,18257,21/11/2020,238156,Surendra,944,5990,Car-Insurance,23646,1532,8646,80CCC,Critical-illness-rider,17135,-72865,12135,50BC,FALSE,12/01/2020,10/02/2020
4617,HealthSuraksha,13/04/1990,email,848718530,05/01/2019,8295,10126,15143,10238,1960,122,25269,37271,iHealthPlan,quarterly ,382980,4595760,NON-PREMIUM,Health,Its Good,18201,23/01/2020,398123,Shubham,9165,475,Property-Insurance,34205,2146,19205,80BB,Term-rider,41407,-48593,36407,150CB,FALSE,15/08/2020,09/06/2020
4618,LifePayMoneyBack,19/02/2017,email,603172549,06/07/2019,8529,13735,14126,6663,1934,197,27861,491121,HeartBeat,half-yearly,203810,2445720,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18255,25/12/2020,217936,Raja,4146,8715,Property-Insurance,38259,3656,23259,80BB,Term-rider,44995,-45005,39995,80CCC,FALSE,07/04/2020,23/01/2020
4619,LifePayMoneyBack,21/02/1999,online,300345587,03/07/2019,7157,18509,19087,14509,1117,100,37596,360795,HeartBeat,half-yearly,45746,548952,PREMIUM,Health,Please-pay-your-installment,18230,10/04/2020,64833,Raja,51,264,Car-Insurance,29868,2640,14868,80BB,Critical-illness-rider,35498,-54502,30498,50BC,TRUE,05/11/2020,19/06/2020
4620,LifePayMoneyBack,25/10/2008,online,363504504,26/02/2019,6432,18790,13998,13650,623,177,32788,265220,HealthSuraksha,quarterly ,149592,1795104,PREMIUM,educational ,Its Good,17998,10/02/2020,163590,Raja,3535,512,Life-Cover,49991,2839,34991,120CC,Disability-rider,34957,-55043,29957,150CB,TRUE,08/01/2020,06/01/2020
4621,LifePayMoneyBack,25/01/2008,cash,766994561,03/09/2019,3075,12873,17147,7756,104,103,30020,290567,HealthSuraksha,quarterly ,437040,5244480,NON-PREMIUM,Personal-liberty,Its Good,18181,17/05/2020,454187,Shubham,1787,1946,Life-Cover,30153,3753,15153,80CCC,Accidental-death-benefit-rider,40058,-49942,35058,80CCC,TRUE,13/07/2020,05/09/2020
4622,HeartBeat,30/05/2010,cash,569869336,10/05/2019,2362,17158,15173,9531,1970,185,32331,473111,HeartBeat,yearly,405233,4862796,PREMIUM,educational ,Please-pay-your-installment,18199,23/01/2020,420406,Sona,5660,7687,Property-Insurance,35473,4104,20473,80CCC,Term-rider,23942,-66058,18942,50BC,TRUE,10/12/2020,19/02/2020
4623,iHealthPlan,01/03/1996,online,790963974,04/08/2019,4592,17026,10034,15156,1416,146,27060,382922,HeartBeat,yearly,408491,4901892,PREMIUM,Personal-liberty,Its Good,18152,29/04/2020,418525,Raja,7066,1524,Car-Insurance,43935,4253,28935,120CC,Term-rider,31961,-58039,26961,80CCC,TRUE,14/11/2020,18/08/2020
4624,HealthSuraksha,04/03/1992,email,583361211,30/12/2019,8237,16533,17754,15545,126,170,34287,374162,HealthSuraksha,quarterly ,409601,4915212,PREMIUM,Health,Please-pay-your-installment,18219,06/12/2020,427355,Raja,3081,2003,Life-Cover,33960,3433,18960,120CC,Critical-illness-rider,17920,-72080,12920,80CCC,TRUE,27/07/2020,23/06/2020
4625,HealthSuraksha,09/11/2002,email,474559067,20/10/2019,3269,19478,14511,18220,1390,186,33989,496831,HeartBeat,half-yearly,395165,4741980,PREMIUM,Health,Its Good,17922,07/04/2020,409676,Sona,7148,8691,Life-Cover,35212,2809,20212,80BB,Critical-illness-rider,46883,-43117,41883,50BC,TRUE,08/09/2020,18/02/2020
4626,iHealthPlan,12/05/1992,cash,368153195,06/05/2019,3950,18676,19515,1465,1844,129,38191,278374,HeartBeat,quarterly ,469166,5629992,PREMIUM,Health,Its Good,18219,23/09/2020,488681,Surendra,7996,2870,Life-Cover,42517,3936,27517,120CC,Critical-illness-rider,21198,-68802,16198,80CCC,TRUE,05/08/2020,28/02/2020
4627,LifePayMoneyBack,10/01/2017,cash,838782817,24/06/2019,8132,14629,15215,10336,1995,194,29844,254001,LifePayMoneyBack,yearly,360915,4330980,PREMIUM,Personal-liberty,Please-pay-your-installment,18211,12/04/2020,376130,Shubham,1905,8204,Car-Insurance,33739,4095,18739,80CCC,Term-rider,37513,-52487,32513,50BC,FALSE,28/04/2020,11/12/2020
4628,HealthSuraksha,17/02/2017,cash,320582186,31/05/2019,4732,15128,16927,19603,1047,135,32055,324174,LifePayMoneyBack,half-yearly,336145,4033740,NON-PREMIUM,Health,Please-pay-your-installment,18045,25/12/2020,353072,Raja,9957,7248,Life-Cover,24548,2493,9548,120CC,Disability-rider,26540,-63460,21540,150CB,TRUE,16/05/2020,10/11/2020
4629,LifePayMoneyBack,08/01/2006,cash,878426339,12/05/2019,3007,16367,19686,2481,672,146,36053,460772,HealthSuraksha,half-yearly,308852,3706224,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18171,31/07/2020,328538,Sourabh,206,5046,Life-Cover,20962,4822,5962,120CC,Critical-illness-rider,19650,-70350,14650,150CB,TRUE,16/10/2020,14/12/2020
4630,HeartBeat,27/03/1998,cash,129745669,17/10/2019,9153,13233,14599,6623,1100,150,27832,260742,iHealthPlan,half-yearly,316633,3799596,NON-PREMIUM,educational ,Please-pay-your-installment,18011,08/11/2020,331232,Shubham,7383,7204,Car-Insurance,22049,1365,7049,80BB,Accidental-death-benefit-rider,40385,-49615,35385,150CB,FALSE,21/08/2020,16/09/2020
4631,LifePayMoneyBack,22/04/2000,online,206353310,23/09/2019,8033,13331,19518,8132,1728,152,32849,371323,HeartBeat,quarterly ,298697,3584364,NON-PREMIUM,educational ,Please-pay-your-installment,18108,27/04/2020,318215,Raja,7336,8763,Life-Cover,23681,4781,8681,80CCC,Accidental-death-benefit-rider,12413,-77587,7413,50BC,TRUE,30/12/2020,25/02/2020
4632,LifePayMoneyBack,08/03/1995,cash,433037758,06/09/2019,6118,12111,17658,7530,1105,136,29769,271857,HealthSuraksha,quarterly ,245220,2942640,NON-PREMIUM,educational ,Please-pay-your-installment,18065,13/05/2020,262878,Raja,3791,6266,Health-Insurance,28869,1378,13869,80CCC,Critical-illness-rider,12369,-77631,7369,150CB,FALSE,31/07/2020,02/03/2020
4633,LifePayMoneyBack,07/02/2005,cash,483363619,13/10/2019,5966,10868,18813,10430,1629,111,29681,343186,iHealthPlan,yearly,169814,2037768,PREMIUM,Personal-liberty,Please-pay-your-installment,17966,01/01/2020,188627,Raja,5546,6565,Health-Insurance,45053,3326,30053,80BB,Disability-rider,38788,-51212,33788,50BC,TRUE,02/12/2020,05/09/2020
4634,iHealthPlan,21/10/2009,cash,392496122,30/10/2019,2131,14323,11791,10763,1129,156,26114,53834,iHealthPlan,yearly,105600,1267200,NON-PREMIUM,Health,Please-pay-your-installment,18044,25/10/2020,117391,Sona,5471,3594,Life-Cover,46611,4604,31611,80CCC,Term-rider,49190,-40810,44190,80CCC,FALSE,07/07/2020,23/12/2020
4635,iHealthPlan,11/02/1992,email,894127188,03/08/2019,4128,13055,11403,5254,1669,180,24458,65914,LifePayMoneyBack,quarterly ,92160,1105920,NON-PREMIUM,Health,Its Good,18164,07/07/2020,103563,Surendra,6850,3220,Property-Insurance,31526,3173,16526,80CCC,Critical-illness-rider,35839,-54161,30839,150CB,FALSE,22/01/2020,19/03/2020
4636,LifePayMoneyBack,26/09/2013,email,611976965,02/03/2019,5625,18869,15937,8841,226,170,34806,137095,HealthSuraksha,yearly,54105,649260,PREMIUM,Personal-liberty,Its Good,18103,18/08/2020,70042,Raja,5506,3492,Health-Insurance,46941,2678,31941,80BB,Critical-illness-rider,31010,-58990,26010,50BC,TRUE,09/04/2020,31/08/2020
4637,HeartBeat,29/08/1995,email,466430317,02/08/2019,8723,16956,15815,10740,654,171,32771,32081,LifePayMoneyBack,yearly,264453,3173436,PREMIUM,Personal-liberty,Please-pay-your-installment,17905,07/01/2020,280268,Sourabh,5449,9793,Health-Insurance,44812,2697,29812,80CCC,Critical-illness-rider,38282,-51718,33282,80CCC,FALSE,19/05/2020,27/05/2020
4638,iHealthPlan,10/06/1999,online,171330004,30/06/2019,4088,10938,16008,1310,1732,191,26946,251473,LifePayMoneyBack,quarterly ,438997,5267964,PREMIUM,Personal-liberty,Please-pay-your-installment,18145,21/09/2020,455005,Raja,7775,1896,Life-Cover,33000,1082,18000,80CCC,Critical-illness-rider,35295,-54705,30295,50BC,TRUE,26/12/2020,01/06/2020
